yPred
80
101
88
132
89
132
110
85
85
88
102
88
94
126
101
85
94
88
103
96
88
126
86
88
85
107
101
105
116
126
89
105
86
98
89
88
101
101
136
98
88
78
101
96
80
86
86
82
98
86
86
101
94
88
85
96
86
110
98
112
89
88
94
98
86
86
88
88
96
85
88
88
96
86
88
102
108
110
98
80
105
89
136
136
105
101
98
78
94
113
88
94
101
94
86
94
80
87
88
98
94
88
112
86
105
88
88
