yPred
98
98
98
108
98
108
110
98
98
98
98
98
108
108
98
98
96
98
98
110
98
108
98
98
98
108
98
108
110
110
98
108
98
120
98
96
98
120
98
96
98
98
98
108
98
98
98
98
98
98
98
108
108
98
98
98
98
96
98
98
98
98
120
96
98
98
98
98
96
98
98
98
108
98
96
98
108
110
98
98
108
98
96
98
96
98
98
98
108
110
98
98
98
96
98
98
98
108
98
98
98
98
108
98
110
98
98
